,,,T. Faltas,%Freq,Situação,Nota Etapa 1,Falta Etapa 1,MD,Nota Etapa Final,MFD/Conceito
,,,14,"82,5",Aprovado,"8,80",14,"8,80",-,"8,80"
,,,13,"83,75",Reprovado,"3,60",13,"3,60",-,"3,60"
,,,7,"91,25",Aprovado,"8,10",7,"8,10",-,"8,10"
,,,12,"85,0",Aprovado,"8,90",12,"8,90",-,"8,90"
,,,10,"87,5",Aprovado,"7,20",10,"7,20",-,"7,20"
,,,5,"93,75",Aprovado,"8,00",5,"8,00",-,"8,00"
,,,7,"91,25",Aprovado,"8,20",7,"8,20",-,"8,20"
,,,58,"27,5",Reprovado por Falta,"0,00",58,"0,00",-,"0,00"
,,,20,"75,0",Aprovado,"8,70",20,"8,70",-,"8,70"
,,,15,"81,25",Aprovado,"7,20",15,"7,20",-,"7,20"
,,,32,"60,0",Cancelado,-,32,-,-,-
,,,18,"77,5",Aprovado,"8,80",18,"8,80",-,"8,80"
,,,21,"73,75",Reprovado por Falta,"0,20",21,"0,20",-,"0,20"
,,,58,"27,5",Reprovado por Falta,"0,00",58,"0,00",-,"0,00"
,,,18,"77,5",Aprovado,"7,00",18,"7,00",-,"7,00"
,,,12,"85,0",Aprovado,"8,10",12,"8,10",-,"8,10"
,,,13,"83,75",Aprovado,"7,10",13,"7,10",-,"7,10"
,,,21,"73,75",Reprovado por Falta,"1,40",21,"1,40",-,"1,40"
,,,13,"83,75",Aprovado,"6,20",13,"6,20",-,"6,20"
,,,72,"10,0",Reprovado por Falta,"0,00",72,"0,00",-,"0,00"
,,,22,"72,5",Reprovado por Falta,"2,00",22,"2,00",-,"2,00"
,,,19,"76,25",Reprovado,"0,00",19,"0,00",-,"0,00"
,,,15,"81,25",Aprovado,"6,10",15,"6,10",-,"6,10"
,,,5,"93,75",Aprovado,"8,00",5,"8,00",-,"8,00"
,,,30,"62,5",Cancelado,-,30,-,-,-
,,,24,"70,0",Trancado,-,24,-,-,-
,,,10,"87,5",Aprovado,"7,40",10,"7,40",-,"7,40"
,,,10,"87,5",Reprovado,"3,30",10,"3,30",-,"3,30"
,,,18,"77,5",Aprovado,"8,70",18,"8,70",-,"8,70"
,,,12,"85,0",Aprovado,"9,40",12,"9,40",-,"9,40"
,,,14,"82,5",Reprovado,"4,80",14,"4,80","0,00","4,80"
,,,23,"71,25",Trancado,-,23,-,-,-
,,,14,"82,5",Reprovado,"3,00",14,"3,00",-,"3,00"
,,,6,"92,5",Aprovado,"7,50",6,"7,50",-,"7,50"
,,,10,"87,5",Aprovado,"5,60",10,"5,60","6,00","6,00"
,,,5,"93,75",Aprovado,"6,20",5,"6,20",-,"6,20"
,,,4,"95,0",Aprovado,"8,80",4,"8,80",-,"8,80"
,,,33,"58,75",Reprovado por Falta,"0,00",33,"0,00",-,"0,00"
,,,7,"91,25",Aprovado,"9,60",7,"9,60",-,"9,60"
,,,13,"83,75",Aprovado,"7,60",13,"7,60",-,"7,60"
,,,13,"83,75",Aprovado,"4,80",13,"4,80","7,00","7,00"
,,,12,"85,0",Aprovado,"8,70",12,"8,70",-,"8,70"
,,,13,"83,75",Aprovado,"6,80",13,"6,80",-,"6,80"
,,,9,"88,75",Aprovado,"8,90",9,"8,90",-,"8,90"
,,,14,"82,5",Aprovado,"6,10",14,"6,10",-,"6,10"
,,,9,"88,75",Aprovado,"8,20",9,"8,20",-,"8,20"
,,,66,"17,5",Reprovado por Falta,"0,00",66,"0,00",-,"0,00"
,,,16,"80,0",Aprovado,"8,50",16,"8,50",-,"8,50"
,,,41,"48,75",Reprovado por Falta,"0,00",41,"0,00",-,"0,00"